rep,sample,gap_bb,gap_bp
0,0,0.0,0.0
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.00808080808080808
0,7,0.0,0.0
0,8,0.0,0.0
0,9,0.0,0.0010111223458038423
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,14,0.0,0.0
0,15,0.0,0.0
0,16,0.0,0.006072874493927126
0,17,0.0,0.004036326942482341
0,18,0.0,0.0
0,19,0.0,0.010141987829614604
1,0,0.0,0.0
1,1,0.0,0.015259409969481181
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,0.0
1,7,0.0,0.013251783893985729
1,8,0.0,0.00101010101010101
1,9,0.0,0.0
1,10,0.0,0.01720647773279352
1,11,0.0,0.007063572149344097
1,12,0.0,0.01314459049544995
1,13,0.0,0.0
1,14,0.0,0.0010162601626016261
1,15,0.0,0.0081799591002045
1,16,0.0,0.012133468149646108
1,17,0.0,0.0
1,18,0.0,0.001017293997965412
1,19,0.0,0.0
2,0,0.0,0.005045408678102927
2,1,0.0,0.0
2,2,0.0,0.007077856420626896
2,3,0.0,0.0
2,4,0.0,0.010224948875255624
2,5,0.0,0.0
2,6,0.0,0.0
2,7,0.0,0.002026342451874367
2,8,0.0,0.0020242914979757085
2,9,0.0,0.021233569261880688
2,10,0.0,0.0
2,11,0.0,0.0010121457489878543
2,12,0.0,0.0
2,13,0.0,0.0
2,14,0.0,0.0
2,15,0.0,0.0
2,16,0.0,0.0
2,17,0.0,0.0
2,18,0.0,0.0
2,19,0.0,0.0
3,0,0.0,0.0
3,1,0.0,0.0
3,2,0.0,0.006066734074823054
3,3,0.0,0.022222222222222223
3,4,0.0,0.0
3,5,0.0,0.003045685279187817
3,6,0.0,0.0
3,7,0.0,0.0
3,8,0.0,0.00404040404040404
3,9,0.0,0.017258883248730966
3,10,0.0,0.00202020202020202
3,11,0.0,0.0
3,12,0.0,0.010111223458038422
3,13,0.0,0.0
3,14,0.0,0.00202020202020202
3,15,0.0,0.0
3,16,0.0,0.0
3,17,0.0,0.0
3,18,0.0,0.0030272452068617556
3,19,0.0,0.0
4,0,0.0,0.0
4,1,0.0,0.0
4,2,0.0,0.013251783893985729
4,3,0.0,0.0
4,4,0.0,0.0
4,5,0.0,0.0
4,6,0.0,0.0
4,7,0.0,0.0
4,8,0.0,0.0
4,9,0.0,0.0
4,10,0.0,0.0
4,11,0.0,0.0
4,12,0.0,0.0
4,13,0.0,0.0
4,14,0.0,0.0
4,15,0.0,0.0
4,16,0.0,0.0
4,17,0.0,0.0030241935483870967
4,18,0.0,0.0
4,19,0.0,0.00411522633744856
5,0,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.008088978766430738
5,4,0.0,0.0
5,5,0.0,0.008072653884964682
5,6,0.0,0.0
5,7,0.0,0.005070993914807302
5,8,0.0,0.0
5,9,0.0,0.020202020202020204
5,10,0.0,0.0
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.0,0.0
5,14,0.0,0.0
5,15,0.0,0.0020181634712411706
5,16,0.0,0.015120967741935484
5,17,0.0,0.0
5,18,0.0,0.016260162601626018
5,19,0.0,0.0
6,0,0.0,0.0
6,1,0.0,0.006072874493927126
6,2,0.0,0.0
6,3,0.0,0.0010121457489878543
6,4,0.0,0.0
6,5,0.0,0.0
6,6,0.0,0.0
6,7,0.0,0.006160164271047228
6,8,0.0,0.0
6,9,0.0,0.0
6,10,0.0,0.010111223458038422
6,11,0.0,0.0
6,12,0.0,0.008088978766430738
6,13,0.0,0.0
6,14,0.0,0.014256619144602852
6,15,0.0,0.006160164271047228
6,16,0.0,0.0
6,17,0.0,0.0
6,18,0.0,0.0010111223458038423
6,19,0.0,0.0
7,0,0.0,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.0,0.0
7,5,0.0,0.0
7,6,0.0,0.008121827411167513
7,7,0.0,0.008064516129032258
7,8,0.0,0.0
7,9,0.0,0.0
7,10,0.0,0.0
7,11,0.0,0.0
7,12,0.0,0.0
7,13,0.0,0.0
7,14,0.0,0.0
7,15,0.0,0.0010141987829614604
7,16,0.0,0.0020222446916076846
7,17,0.0,0.0
7,18,0.0,0.0
7,19,0.0,0.0
